id,errors-question1,errors-question2,errors-question3,errors-question4,errors-question5,errors-question6,errors-question7,errors-question8,errors-question9,errors-question10,errors-question11
2016094066,1,0.0,0.0,3.0,0.0,0.0,,,,,1.0
20170061991,0,0.0,1.0,3.0,,,,,,,
20170110906,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
11219029,1,1.0,1.0,3.0,2.0,,,,,,3.0
20170073517,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
20160157990,0,1.0,1.0,5.0,2.0,,2.0,1.0,1.0,1.0,3.0
20170109549,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
20170059053,0,0.0,,4.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0
11500456,2,0.0,1.0,5.0,,,2.0,1.0,1.0,1.0,3.0
20170109941,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0
20170023631,1,0.0,1.0,2.0,1.0,,,,,,0.0
20180065054,1,0.0,1.0,1.0,1.0,2.0,,,,,2.0
20160155708,0,0.0,1.0,4.0,1.0,2.0,,,,,
11410085,0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0
20170195538,0,0.0,1.0,0.0,1.0,1.0,,,,,3.0
11514190,0,0.0,0.0,1.0,1.0,0.0,,,,,2.0
20170026858,0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,0.0
20170078596,0,0.0,1.0,2.0,2.0,3.0,2.0,,,,3.0
20170062578,0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,
11508019,2,1.0,1.0,2.0,1.0,2.0,,,,,
20170009712,0,1.0,1.0,2.0,1.0,3.0,,,,,2.0
2016066320,0,,,3.0,1.0,,,,,,
20170160793,1,0.0,0.0,3.0,1.0,2.0,,,,,2.0
20180161810,0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,,2.0
20180161794,0,0.0,,1.0,1.0,,1.0,1.0,1.0,1.0,2.0
20170108078,0,0.0,1.0,2.0,2.0,,,,,,
2016088480,1,0.0,0.0,2.0,0.0,0.0,1.0,,,,1.0
11316792,0,1.0,1.0,0.0,0.0,2.0,,,,,
2016077860,3,1.0,1.0,2.0,,,,,,,
11511649,1,0.0,,3.0,2.0,,,,,,
20160125825,0,1.0,1.0,,,,3.0,3.0,3.0,2.0,
