id,errors-question1,errors-question2,errors-question3,errors-question4,errors-question5,errors-question6,errors-question7,errors-question8,errors-question9
20170113185,1,1,1.0,1.0,0.0,0.0,1.0,2.0,0.0
20170158300,0,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
20170058978,0,0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
20170108962,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170112811,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
20180164446,0,0,1.0,0.0,0.0,1.0,0.0,2.0,0.0
20170143513,2,1,1.0,2.0,,,0.0,,3.0
20170113891,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
20170164809,0,1,0.0,2.0,1.0,1.0,1.0,0.0,0.0
20170129579,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170024559,0,1,0.0,0.0,0.0,0.0,0.0,2.0,
20170130337,0,1,2.0,0.0,0.0,0.0,0.0,1.0,0.0
20170133007,2,1,,2.0,,,0.0,1.0,3.0
20180013218,1,1,0.0,1.0,0.0,1.0,1.0,2.0,3.0
20170111663,1,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0
20170111289,2,1,1.0,2.0,1.0,1.0,2.0,2.0,3.0
20170152334,1,1,0.0,2.0,1.0,1.0,1.0,2.0,1.0
20170157368,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170111206,2,1,1.0,,,,2.0,2.0,3.0
20170110245,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170015658,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170114066,1,2,0.0,1.0,1.0,1.0,2.0,,
20180059754,2,2,1.0,2.0,1.0,,,,
20170114039,1,2,0.0,1.0,0.0,1.0,1.0,2.0,3.0
20170155130,1,1,1.0,1.0,1.0,1.0,2.0,0.0,1.0
20170195396,0,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0
20170144931,0,2,1.0,1.0,0.0,1.0,0.0,2.0,2.0
20170113766,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2016094066,1,2,0.0,2.0,1.0,1.0,1.0,2.0,3.0
20170061991,0,1,1.0,2.0,1.0,1.0,2.0,2.0,3.0
20170110906,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
20170073517,0,2,2.0,1.0,0.0,0.0,0.0,2.0,2.0
20160157990,1,2,2.0,1.0,1.0,1.0,1.0,2.0,3.0
20170109549,0,0,1.0,2.0,0.0,1.0,0.0,1.0,3.0
20170059053,0,1,0.0,1.0,0.0,1.0,1.0,2.0,2.0
11500456,1,2,1.0,2.0,1.0,1.0,1.0,,
11505295,0,1,0.0,2.0,1.0,1.0,2.0,2.0,3.0
20170109941,0,1,0.0,0.0,0.0,0.0,0.0,2.0,3.0
20180065054,0,2,1.0,2.0,0.0,0.0,2.0,,
20160155708,2,2,1.0,2.0,1.0,,2.0,,
11017241,2,2,2.0,2.0,1.0,1.0,2.0,,
20170195538,2,2,0.0,,,,0.0,,
11507006,2,2,2.0,2.0,0.0,1.0,2.0,,3.0
11514190,0,2,1.0,1.0,0.0,0.0,0.0,,
20170078596,0,1,0.0,0.0,0.0,1.0,1.0,,3.0
20170062578,0,2,0.0,2.0,1.0,,,,
11508019,2,2,2.0,2.0,,,,,
20170009712,0,0,0.0,2.0,1.0,1.0,0.0,2.0,3.0
20170160793,2,2,1.0,0.0,1.0,1.0,2.0,2.0,3.0
20180161810,2,2,1.0,1.0,1.0,,1.0,2.0,1.0
20170108078,2,2,2.0,2.0,1.0,1.0,2.0,2.0,3.0
2016088480,0,1,1.0,2.0,1.0,,1.0,2.0,1.0
20170010910,2,2,1.0,2.0,1.0,1.0,2.0,,3.0
20160125825,2,2,,2.0,1.0,,2.0,,
