id,errors-question1,errors-question2,errors-question3,errors-question4,errors-question5,errors-question6,errors-question7,errors-question8,errors-question9,errors-question10,errors-question11,errors-question12
20180047593,1,2.0,1.0,4.0,3.0,3.0,,,,,,
20180071150,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
20180124674,0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0
20180133717,2,2.0,1.0,1.0,1.0,2.0,1.0,,,1.0,1.0,
20180036437,1,1.0,2.0,1.0,1.0,,0.0,2.0,,1.0,3.0,3.0
20180035977,2,1.0,2.0,1.0,0.0,1.0,1.0,,,1.0,1.0,3.0
20180018671,0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0
20190176594,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
20180021597,2,1.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0
20180024991,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180036277,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0
20180030470,0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0
20180036132,2,2.0,1.0,4.0,3.0,5.0,,,,,,
20180037176,1,,1.0,3.0,3.0,,1.0,,0.0,1.0,2.0,2.0
20180039377,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20180026190,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20170026858,1,2.0,1.0,1.0,1.0,3.0,,,,2.0,1.0,
20180112931,1,2.0,1.0,0.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0,2.0
20180132219,1,1.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,4.0
20180035832,0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0
20180131516,0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,,0.0,2.0,
20180038754,0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0
20180089379,0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0
20170060555,3,3.0,2.0,2.0,,,,,,,,
20170166812,1,1.0,1.0,5.0,2.0,,4.0,,4.0,5.0,5.0,
20180068753,3,2.0,3.0,1.0,0.0,2.0,,,,,,
20170061991,1,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,2.0,4.0
20170129523,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,1.0
20170173791,1,2.0,1.0,1.0,1.0,0.0,1.0,,,1.0,2.0,1.0
20180043852,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20190074093,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
20160157990,0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0
20180104653,2,1.0,1.0,,,,,,,,,
20170132538,1,5.0,,1.0,1.0,3.0,0.0,,,1.0,,
20170156164,1,1.0,1.0,2.0,4.0,3.0,1.0,,2.0,4.0,2.0,3.0
20170157822,0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0
20170024399,0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0
20170041157,1,1.0,1.0,4.0,5.0,,,,,,,
20180034657,1,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0
20170161173,1,1.0,,2.0,0.0,2.0,,,,3.0,3.0,2.0
20160155708,1,1.0,1.0,2.0,3.0,0.0,3.0,3.0,,3.0,2.0,1.0
11017241,0,0.0,2.0,1.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0
20180098000,0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,
20170111583,1,1.0,0.0,1.0,1.0,2.0,1.0,,,2.0,1.0,3.0
20170200825,0,2.0,1.0,2.0,2.0,0.0,1.0,,,,,
20180064979,1,1.0,1.0,2.0,0.0,0.0,1.0,,,1.0,1.0,1.0
20160150710,1,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0
20180161794,1,1.0,1.0,5.0,5.0,,0.0,,1.0,2.0,1.0,2.0
20180034817,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0
20170008072,2,3.0,1.0,3.0,3.0,,3.0,2.0,4.0,4.0,1.0,1.0
20170032470,1,1.0,1.0,3.0,1.0,4.0,3.0,,,3.0,2.0,4.0
20180039770,0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
2016091921,1,1.0,0.0,1.0,1.0,,1.0,,,1.0,1.0,
20170012816,1,1.0,2.0,1.0,0.0,0.0,1.0,,1.0,2.0,1.0,1.0
20180037917,1,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
20170077131,3,1.0,,3.0,,,3.0,,,3.0,,
20180102238,1,1.0,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0
20170168970,1,2.0,2.0,1.0,2.0,2.0,1.0,1.0,,3.0,2.0,1.0
20180035430,1,2.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0
20170006210,4,4.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,5.0,4.0,5.0
